location,INDICATOR,SUBJECT,MEASURE,FREQUENCY,year,number
ARG,CROPYIELD,SOYBEAN,TONNE_HA,A,2003,2.86591489
ARG,CROPYIELD,SOYBEAN,TONNE_HA,A,2004,2.207494407
ARG,CROPYIELD,SOYBEAN,TONNE_HA,A,2005,2.728503241
ARG,CROPYIELD,SOYBEAN,TONNE_HA,A,2006,2.67924653
ARG,CROPYIELD,SOYBEAN,TONNE_HA,A,2007,2.971153244
ARG,CROPYIELD,SOYBEAN,TONNE_HA,A,2008,2.440661419
ARG,CROPYIELD,SOYBEAN,TONNE_HA,A,2009,1.847772941
ARG,CROPYIELD,SOYBEAN,TONNE_HA,A,2010,2.905460563
ARG,CROPYIELD,SOYBEAN,TONNE_HA,A,2011,2.6113835
ARG,CROPYIELD,SOYBEAN,TONNE_HA,A,2012,2.281390453
ARG,CROPYIELD,SOYBEAN,TONNE_HA,A,2013,2.539190442
ARG,CROPYIELD,SOYBEAN,TONNE_HA,A,2014,2.773581966
ARG,CROPYIELD,SOYBEAN,TONNE_HA,A,2015,3.103341264
JPN,CROPYIELD,SOYBEAN,TONNE_HA,A,1995,1.734693878
JPN,CROPYIELD,SOYBEAN,TONNE_HA,A,1996,1.809290954
JPN,CROPYIELD,SOYBEAN,TONNE_HA,A,1997,1.742788462
JPN,CROPYIELD,SOYBEAN,TONNE_HA,A,1998,1.448212649
JPN,CROPYIELD,SOYBEAN,TONNE_HA,A,1999,1.73012939
JPN,CROPYIELD,SOYBEAN,TONNE_HA,A,2000,1.918367347
JPN,CROPYIELD,SOYBEAN,TONNE_HA,A,2001,1.886031967
JPN,CROPYIELD,SOYBEAN,TONNE_HA,A,2002,1.802535023
JPN,CROPYIELD,SOYBEAN,TONNE_HA,A,2003,1.528637261
JPN,CROPYIELD,SOYBEAN,TONNE_HA,A,2004,1.192982456
JPN,CROPYIELD,SOYBEAN,TONNE_HA,A,2005,1.679104478
JPN,CROPYIELD,SOYBEAN,TONNE_HA,A,2006,1.612948628
JPN,CROPYIELD,SOYBEAN,TONNE_HA,A,2007,1.639190166
JPN,CROPYIELD,SOYBEAN,TONNE_HA,A,2008,1.779061863
JPN,CROPYIELD,SOYBEAN,TONNE_HA,A,2009,1.581843191
JPN,CROPYIELD,SOYBEAN,TONNE_HA,A,2010,1.6194626
JPN,CROPYIELD,SOYBEAN,TONNE_HA,A,2011,1.600585223
JPN,CROPYIELD,SOYBEAN,TONNE_HA,A,2012,1.799389779
JPN,CROPYIELD,SOYBEAN,TONNE_HA,A,2013,1.552018634
JPN,CROPYIELD,SOYBEAN,TONNE_HA,A,2014,1.761398176
JPN,CROPYIELD,SOYBEAN,TONNE_HA,A,2015,1.741014399
IDN,CROPYIELD,SOYBEAN,TONNE_HA,A,1995,1.137114941
IDN,CROPYIELD,SOYBEAN,TONNE_HA,A,1996,1.185954715
IDN,CROPYIELD,SOYBEAN,TONNE_HA,A,1997,1.23919025
IDN,CROPYIELD,SOYBEAN,TONNE_HA,A,1998,1.200612664
IDN,CROPYIELD,SOYBEAN,TONNE_HA,A,1999,1.676363636
IDN,CROPYIELD,SOYBEAN,TONNE_HA,A,2000,1.236363636
IDN,CROPYIELD,SOYBEAN,TONNE_HA,A,2001,1.14384509
IDN,CROPYIELD,SOYBEAN,TONNE_HA,A,2002,1.233027523
IDN,CROPYIELD,SOYBEAN,TONNE_HA,A,2003,1.275142315
IDN,CROPYIELD,SOYBEAN,TONNE_HA,A,2004,1.285968028
IDN,CROPYIELD,SOYBEAN,TONNE_HA,A,2005,1.301127214
IDN,CROPYIELD,SOYBEAN,TONNE_HA,A,2006,1.286941581
IDN,CROPYIELD,SOYBEAN,TONNE_HA,A,2007,1.282608696
IDN,CROPYIELD,SOYBEAN,TONNE_HA,A,2008,1.3125
IDN,CROPYIELD,SOYBEAN,TONNE_HA,A,2009,1.335616438
IDN,CROPYIELD,SOYBEAN,TONNE_HA,A,2010,1.378787879
IDN,CROPYIELD,SOYBEAN,TONNE_HA,A,2011,1.258208955
IDN,CROPYIELD,SOYBEAN,TONNE_HA,A,2012,1.478947368
IDN,CROPYIELD,SOYBEAN,TONNE_HA,A,2013,1.418181818
IDN,CROPYIELD,SOYBEAN,TONNE_HA,A,2014,1.509836066
IDN,CROPYIELD,SOYBEAN,TONNE_HA,A,2015,1.6
TUR,CROPYIELD,SOYBEAN,TONNE_HA,A,1995,1.666666627
TUR,CROPYIELD,SOYBEAN,TONNE_HA,A,1996,1.625
